2025-10-20 23:58:54,412 INFO    MainThread:29579 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_setup.py:_flush():81] Configure stats pid to 29579
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_setup.py:_flush():81] Loading settings from /jet/home/jye9/.config/wandb/settings
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_setup.py:_flush():81] Loading settings from /jet/home/jye9/Project/11685_project/wandb/settings
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /jet/home/jye9/Project/11685_project/wandb/run-20251020_235854-7p2u0njf/logs/debug.log
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /jet/home/jye9/Project/11685_project/wandb/run-20251020_235854-7p2u0njf/logs/debug-internal.log
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_init.py:init():831] calling init triggers
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'config': 'configs/ddpm.yaml', 'data_dir': '/ocean/projects/cis250019p/jye9/11685-project/data', 'image_size': 32, 'batch_size': 64, 'num_workers': 4, 'num_classes': 10, 'run_name': 'exp-8-ddpm', 'output_dir': '/ocean/projects/cis250019p/jye9/11685-project/experiments', 'num_epochs': 100, 'learning_rate': 0.0001, 'weight_decay': 0.01, 'grad_clip': 1.0, 'seed': 42, 'mixed_precision': 'none', 'num_train_timesteps': 500, 'num_inference_steps': 500, 'beta_start': 0.0001, 'beta_end': 0.01, 'beta_schedule': 'linear', 'variance_type': 'fixed_small', 'prediction_type': 'epsilon', 'clip_sample': True, 'clip_sample_range': 1.0, 'optimizer_type': 'AdamW', 'scheduler_type': 'ConsineAnnealingLR', 'unet_in_size': 32, 'unet_in_ch': 3, 'unet_ch': 64, 'unet_ch_mult': [1, 2, 2, 4], 'unet_attn': [2, 3], 'unet_num_res_blocks': 1, 'unet_dropout': 0.2, 'latent_ddpm': False, 'pretrained_vae': 'pretrained/model.ckpt', 'use_cfg': False, 'cfg_guidance_scale': 2.0, 'use_ddim': False, 'ckpt': None, 'predictor_type': 'epsilon', 'distributed': False, 'world_size': 1, 'rank': 0, 'local_rank': 0, 'device': 'cuda', 'total_batch_size': 64, 'max_train_steps': 78100, '_wandb': {}}
2025-10-20 23:58:54,413 INFO    MainThread:29579 [wandb_init.py:init():872] starting backend
2025-10-20 23:58:54,623 INFO    MainThread:29579 [wandb_init.py:init():875] sending inform_init request
2025-10-20 23:58:54,626 INFO    MainThread:29579 [wandb_init.py:init():883] backend started and connected
2025-10-20 23:58:54,628 INFO    MainThread:29579 [wandb_init.py:init():956] updated telemetry
2025-10-20 23:58:54,633 INFO    MainThread:29579 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-10-20 23:58:55,378 INFO    MainThread:29579 [wandb_init.py:init():1032] starting run threads in backend
2025-10-20 23:58:55,614 INFO    MainThread:29579 [wandb_run.py:_console_start():2453] atexit reg
2025-10-20 23:58:55,614 INFO    MainThread:29579 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-10-20 23:58:55,615 INFO    MainThread:29579 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-10-20 23:58:55,615 INFO    MainThread:29579 [wandb_run.py:_redirect():2393] Redirects installed.
2025-10-20 23:58:55,617 INFO    MainThread:29579 [wandb_init.py:init():1078] run started, returning control to user process
